date,close
2000-02-29,22.67
2000-03-31,23.95
2000-04-28,22.72
2000-05-31,21.95
2000-06-30,22.9
2000-07-31,22.45
2000-08-31,24.08
2000-09-29,22.98
2000-10-31,22.52
2000-11-30,20.31
2000-12-29,20.51
2001-01-31,21.25
2001-02-28,19.23
2001-03-30,17.93
2001-04-30,19.41
2001-05-31,19.61
2001-06-29,19.3
2001-07-31,18.97
2001-08-31,17.83
2001-09-28,16.24
2001-10-31,16.65
2001-11-30,17.91
2001-12-31,18.05
2002-01-31,17.83
2002-02-28,17.47
2002-03-28,18.25
2002-04-30,17.39
2002-05-31,17.19
2002-06-28,16.02
2002-07-31,14.74
2002-08-30,14.84
2002-09-30,13.37
2002-10-31,14.37
2002-11-29,15.18
2002-12-31,14.18
2003-01-31,13.83
2003-02-28,13.59
2003-03-31,13.75
2003-04-30,14.84
2003-05-30,15.71
2003-06-30,15.95
2003-07-31,16.32
2003-08-29,16.7
2003-09-30,16.51
2003-10-31,17.52
2003-11-28,17.78
2003-12-31,18.38
2004-01-30,18.76
2004-02-27,19.04
2004-03-31,18.85
2004-04-30,18.45
2004-05-28,18.71
2004-06-30,19.1
2004-07-30,18.4
2004-08-31,18.46
2004-09-30,18.77
2004-10-29,19.09
2004-11-30,19.97
2004-12-31,20.39
2005-01-31,19.87
2005-02-28,20.28
2005-03-31,19.93
2005-04-29,19.5
2005-05-31,20.25
2005-06-30,20.41
2005-07-29,21.24
2005-08-31,21.03
2005-09-30,21.18
2005-10-31,20.83
2005-11-30,21.66
2005-12-30,21.38
2006-01-31,22.09
2006-02-28,22.09
2006-03-31,22.49
2006-04-28,22.73
2006-05-31,22.04
2006-06-30,22.08
2006-07-31,22.03
2006-08-31,22.54
2006-09-29,23.07
2006-10-31,23.9
2006-11-30,24.41
2006-12-29,24.38
2007-01-31,24.86
2007-02-28,24.44
2007-03-30,24.7
2007-04-30,25.68
2007-05-31,26.61
2007-06-29,26.19
2007-07-31,25.29
2007-08-31,25.63
2007-09-28,26.52
2007-10-31,27.04
2007-11-30,25.86
2007-12-31,25.27
2008-01-31,23.75
2008-02-29,23.05
2008-03-31,22.89
2008-04-30,24.03
2008-05-30,24.52
2008-06-30,22.5
2008-07-31,22.36
2008-08-29,22.73
2008-09-30,20.69
2008-10-31,17.08
2008-11-28,15.75
2008-12-31,15.65
2009-01-30,14.37
2009-02-27,12.93
2009-03-31,14.04
2009-04-30,15.49
2009-05-29,16.28
2009-06-30,16.32
2009-07-31,17.59
2009-08-31,18.2
2009-09-30,18.95
2009-10-30,18.5
2009-11-30,19.55
2009-12-31,19.75
2010-01-29,19.08
2010-02-26,19.73
2010-03-31,20.94
2010-04-30,21.38
2010-05-28,19.7
2010-06-30,18.62
2010-07-30,19.92
2010-08-31,18.99
2010-09-30,20.77
2010-10-29,21.57
2010-11-30,21.7
2010-12-31,22.75
2011-01-31,23.24
2011-02-28,24.08
2011-03-31,24.19
2011-04-29,24.91
2011-05-31,24.64
2011-06-30,24.21
2011-07-29,23.67
2011-08-31,22.26
2011-09-30,20.56
