date,close
2012-09-28,12.91
2012-10-31,13.0
2012-11-30,13.08
2012-12-31,12.8
2013-01-31,12.71
2013-02-28,12.73
2013-03-28,12.77
2013-04-30,12.87
2013-05-31,12.3
2013-06-28,11.67
2013-07-31,11.8
2013-08-30,11.58
2013-09-30,11.78
2013-10-31,11.84
2013-11-29,11.71
2013-12-31,11.46
2014-01-31,11.73
2014-02-28,11.77
2014-03-31,11.68
2014-04-30,11.85
2014-05-30,12.11
2014-06-30,12.02
2014-07-31,12.01
2014-08-29,12.07
2014-09-30,11.65
2014-10-31,11.75
2014-11-28,11.8
2014-12-31,11.6
2015-01-30,12.02
2015-02-27,11.85
2015-03-31,11.81
2015-04-30,11.9
2015-05-29,11.79
2015-06-30,11.68
2015-07-31,11.74
2015-08-31,11.63
2015-09-30,11.52
2015-10-30,11.54
2015-11-30,11.52
2015-12-31,11.38
2016-01-29,11.6
2016-02-29,11.74
2016-03-31,11.95
2016-04-29,11.98
2016-05-31,11.88
2016-06-30,12.1
2016-07-29,12.17
2016-08-31,12.1
2016-09-30,12.15
2016-10-31,12.09
2016-11-30,11.8
2016-12-30,11.68
2017-01-31,11.81
2017-02-28,11.86
2017-03-31,11.82
2017-04-28,11.91
2017-05-31,11.91
2017-06-30,11.69
2017-07-31,11.78
2017-08-31,11.91
2017-09-29,11.76
2017-10-31,11.79
2017-11-30,11.79
2017-12-29,11.75
2018-01-31,11.61
2018-02-28,11.5
2018-03-29,11.62
2018-04-30,11.59
2018-05-31,11.64
2018-06-29,11.59
2018-07-31,11.52
2018-08-31,11.61
2018-09-28,11.39
2018-10-31,11.25
2018-11-30,11.32
2018-12-31,11.34
2019-01-31,11.53
2019-02-28,11.51
2019-03-29,11.75
2019-04-30,11.79
2019-05-31,11.98
2019-06-28,11.99
2019-07-31,12.02
2019-08-30,12.26
2019-09-30,12.03
2019-10-31,12.03
2019-11-29,12.04
2019-12-31,12.05
2020-01-31,12.33
2020-02-28,12.44
2020-03-31,12.22
2020-04-30,12.53
2020-05-29,12.63
2020-06-30,12.78
2020-07-31,13.07
2020-08-31,13.26
2020-09-30,13.14
2020-10-30,13.05
2020-11-30,13.18
2020-12-31,13.24
2021-01-29,13.32
2021-02-26,13.06
2021-03-31,12.99
2021-04-30,13.21
2021-05-28,13.36
2021-06-30,13.19
2021-07-30,13.61
2021-08-31,13.58
2021-09-30,13.2
2021-10-29,13.32
2021-11-30,13.43
2021-12-31,13.31
2022-01-31,13.03
2022-02-10,12.72
